DatasetID,FileName,PID,URL,タイトル,巻次,シリーズ,版表示,著者,出版者,出版年,出版年(W3CDTF),ISBN,冊数（ページ数・大きさ）,NDC分類,NDC分類（第８版）,NDC分類（第９版）,NDLC分類,件名（NDLSH）,公開範囲
tosho_1870_bunkei,1084369_R0000033.json,1084369,https://dl.ndl.go.jp/info:ndljp/pid/1084369,日本文典,上,,,中根淑 著,大角豊治郎,1876,1876,,,815,,,,,インターネット公開（保護期間満了）
tosho_1870_bunkei,1366572_R0000015.json,1366572,https://dl.ndl.go.jp/info:ndljp/pid/1366572,憲法類編,第二十,,,,,明治6年,1873,,,,,,,,インターネット公開（保護期間満了）
tosho_1870_bunkei,1366483_R0000016.json,1366483,https://dl.ndl.go.jp/info:ndljp/pid/1366483,日本西班牙条約書,全,,,,,明治3年,1870,,,,,,,,インターネット公開（保護期間満了）
tosho_1870_bunkei,1366448_R0000412.json,1366448,https://dl.ndl.go.jp/info:ndljp/pid/1366448,獄務備攷,,,,,,明治11年,1878,,,,,,,,インターネット公開（保護期間満了）
tosho_1870_bunkei,1366448_R0000388.json,1366448,https://dl.ndl.go.jp/info:ndljp/pid/1366448,獄務備攷,,,,,,明治11年,1878,,,,,,,,インターネット公開（保護期間満了）
tosho_1870_bunkei,1366448_R0000348.json,1366448,https://dl.ndl.go.jp/info:ndljp/pid/1366448,獄務備攷,,,,,,明治11年,1878,,,,,,,,インターネット公開（保護期間満了）
tosho_1870_bunkei,1366448_R0000314.json,1366448,https://dl.ndl.go.jp/info:ndljp/pid/1366448,獄務備攷,,,,,,明治11年,1878,,,,,,,,インターネット公開（保護期間満了）
tosho_1870_bunkei,1366448_R0000135.json,1366448,https://dl.ndl.go.jp/info:ndljp/pid/1366448,獄務備攷,,,,,,明治11年,1878,,,,,,,,インターネット公開（保護期間満了）
tosho_1870_bunkei,1366448_R0000033.json,1366448,https://dl.ndl.go.jp/info:ndljp/pid/1366448,獄務備攷,,,,,,明治11年,1878,,,,,,,,インターネット公開（保護期間満了）
tosho_1870_bunkei,1366155_R0000239.json,1366155,https://dl.ndl.go.jp/info:ndljp/pid/1366155,訴訟法会議筆記,,,,,,明治11年,1878,,,,,,,,インターネット公開（保護期間満了）
tosho_1870_bunkei,1366155_R0000174.json,1366155,https://dl.ndl.go.jp/info:ndljp/pid/1366155,訴訟法会議筆記,,,,,,明治11年,1878,,,,,,,,インターネット公開（保護期間満了）
tosho_1870_bunkei,1365978_R0000029.json,1365978,https://dl.ndl.go.jp/info:ndljp/pid/1365978,智的原刻約定法,巻之壹草稿,,,,,明治9-12年,1876,,,,,,,,インターネット公開（保護期間満了）
tosho_1870_bunkei,1366637_R0000289.json,1366637,https://dl.ndl.go.jp/info:ndljp/pid/1366637,本朝民鑑,坤巻,,,,,明治10-13年,1877,,,,,,,,インターネット公開（保護期間満了）
tosho_1870_bunkei,1365835_R0000009.json,1365835,https://dl.ndl.go.jp/info:ndljp/pid/1365835,香港巡邏章程,全,,,,,明治5年,1872,,,,,,,,インターネット公開（保護期間満了）
tosho_1870_bunkei,1151978_R0000060.json,1151978,https://dl.ndl.go.jp/info:ndljp/pid/1151978,官員名鑑, 明治10年6月,,,神崎正誼 編,弘道軒,明10-11,1878,,,281.03,,,,,インターネット公開（保護期間満了）
tosho_1870_bunkei,768828_R0000052.json,768828,https://dl.ndl.go.jp/info:ndljp/pid/768828,訓蒙皇国史略,巻之１０上,,,沖脩 (冠嶺) 編,知彼知己斎,明6.12,1873,,,210,,,,,インターネット公開（保護期間満了）
tosho_1870_bunkei,768836_R0000042.json,768836,https://dl.ndl.go.jp/info:ndljp/pid/768836,訓蒙大日本史,巻之１,,,"頼山陽 著||田中正義 訳||重野安繹, 渡辺脩斎 閲",含章堂,明7-9,1876,,,210,,,,,インターネット公開（保護期間満了）
tosho_1870_bunkei,768906_R0000019.json,768906,https://dl.ndl.go.jp/info:ndljp/pid/768906,訓蒙日本外史,６,,,頼山陽 著||大槻誠之 解||長田徳鄰 校,和泉屋吉兵衛等,明7,1874,,,210,,,,,インターネット公開（保護期間満了）
tosho_1870_bunkei,768978_R0000029.json,768978,https://dl.ndl.go.jp/info:ndljp/pid/768978,啓蒙日本外史,２９,,,大槻東陽 著||渡辺約郎 校,何不成舎,明7,1874,,,210,,,,,インターネット公開（保護期間満了）
tosho_1870_bunkei,769577_R0000018.json,769577,https://dl.ndl.go.jp/info:ndljp/pid/769577,国史略訳語,,,,西野古海 編,山川応之,明8.6,1875,,94丁 ; 19cm,210,,,,,インターネット公開（保護期間満了）
tosho_1870_bunkei,769894_R0000045.json,769894,https://dl.ndl.go.jp/info:ndljp/pid/769894,増補国史略字解 : 袖珍銅鐫,巻上,,,桜井茂衛 編,此村欽英堂,明11.8,1878,,,210,,,,,インターネット公開（保護期間満了）
tosho_1870_bunkei,770309_R0000060.json,770309,https://dl.ndl.go.jp/info:ndljp/pid/770309,日本王代一覧,巻之１,,,林春斎 著||後藤莞爾 補,新栄堂,明8-9,1876,,,210,,,,,インターネット公開（保護期間満了）
tosho_1870_bunkei,770375_R0000038.json,770375,https://dl.ndl.go.jp/info:ndljp/pid/770375,日本外史,巻１１　足利氏後記　武田氏　上杉氏,,増補,頼山陽 著||頼又二郎 補,頼又二郎,明9.4,1876,,,210,,,,,インターネット公開（保護期間満了）
tosho_1870_bunkei,770831_R0000032.json,770831,https://dl.ndl.go.jp/info:ndljp/pid/770831,日本史略,巻之３,,,笠間益三 編,鳳鳴閣,明12.3,1879,,,210,,,,,インターネット公開（保護期間満了）
tosho_1870_bunkei,771167_R0000053.json,771167,https://dl.ndl.go.jp/info:ndljp/pid/771167,日本略史,３,,,笠間益三 編,小林新兵衛,明9.2,1876,,,210,,,,,インターネット公開（保護期間満了）
tosho_1870_bunkei,1365806_R0000038.json,1365806,https://dl.ndl.go.jp/info:ndljp/pid/1365806,仏国政法論,第二帙下卷,,,,,明治12-16年,1879,,,,,,,,インターネット公開（保護期間満了）
tosho_1870_bunkei,771210_R0000028.json,771210,https://dl.ndl.go.jp/info:ndljp/pid/771210,日本略史暗記問答,,,増補,小泉久太郎 編,松原仁作,明12.11,1879,,51丁 ; 18cm,210,,,,,インターネット公開（保護期間満了）
tosho_1870_bunkei,1366637_R0000327.json,1366637,https://dl.ndl.go.jp/info:ndljp/pid/1366637,本朝民鑑,坤巻,,,,,明治10-13年,1877,,,,,,,,インターネット公開（保護期間満了）
